MP_W_S,MP_E_N,beamName,beamLength,beamDir,startX,startY,endX,endY,labelX,labelY,arrowX,arrowY,beamX,beamY,,,
A1-1,A2-2,A1-1 - A2-2,36.63,v,389.47,38.5,389.47,75.13,399.47,38.5,389.47,56.815,403.47,56.815,,B4_width,51.33
A1-2,A1-1,A1-2 - A1-1,38.5,v,389.47,0,389.47,38.5,399.47,-3,389.47,19.25,403.47,19.25,,B4_height,38.5
A1-3,A1-2,A1-3 - A1-2,51.33,h,338.14,0,389.47,0,328.14,-3,363.805,0,363.805,-5,,B34_height,36.63
A1-3,A1-4,A1-3 - A1-4,38.5,v,338.14,0,338.14,38.5,,,338.14,19.25,324.14,19.25,,B3_height,47.21
A1-4,A1-1,A1-4 - A1-1,51.33,h,338.14,38.5,389.47,38.5,328.14,38.5,363.805,38.5,363.805,43.5,,B23_width,32.08
A1-4,A2-4,A1-4 - A2-4,36.63,v,338.14,38.5,338.14,75.13,,,338.14,56.815,324.14,56.815,,AB_width,55.83
A2-2,A2-1,A2-2 - A2-1,47.21,v,389.47,75.13,389.47,122.34,399.47,75.13,389.47,98.735,403.47,98.735,,A_shift,222.65
A2-3,A2-1,A2-3 - A2-1,51.33,h,338.14,122.34,389.47,122.34,338.14,125.34,363.805,122.34,363.805,127.34,,,
A2-4,A2-2,A2-4 - A2-2,51.33,h,338.14,75.13,389.47,75.13,328.14,69.13,363.805,75.13,363.805,70.13,,xBeam,14
A2-4,A2-3,A2-4 - A2-3,47.21,v,338.14,75.13,338.14,122.34,,,338.14,98.735,324.14,98.735,,yBeam,5
A2-5,A2-3,A2-5 - A2-3,32.08,h,306.06,122.34,338.14,122.34,306.06,125.34,322.1,122.34,322.1,117.34,,,
A2-6,A2-4,A2-6 - A2-4,32.08,h,306.06,75.13,338.14,75.13,306.06,70.13,322.1,75.13,322.1,80.13,,xLabel,7
A2-6,A2-5,A2-6 - A2-5,47.21,v,306.06,75.13,306.06,122.34,,,306.06,98.735,292.06,98.735,,yLabel,3
A3-1,A2-5,A3-1 - A2-5,32.08,h,273.98,122.34,306.06,122.34,273.98,125.34,290.02,122.34,290.02,117.34,,yUnder,3
A3-2,A3-1,A3-2 - A3-1,47.21,v,273.98,75.13,273.98,122.34,283.98,69.13,273.98,98.735,259.98,98.735,,,
